"","county","year","shareduserfoi","incidence","previousyear","previnf"
"701","Cambria-Pennsylvania","2011",0.744631884010959,1,0,0.0823587817630154
"709","Camden-Missouri","2007",0,0,0,0.399888560523529
"710","Camden-Missouri","2008",0,0,0,0
"711","Camden-Missouri","2009",0.000787079558859442,0,0,0
"712","Camden-Missouri","2010",0.000946560272182329,0,0,0.000787079558859442
"713","Camden-Missouri","2011",0.0751282011327556,0,0,0.000946560272182329
"714","Camden-Missouri","2012",0.0101390492223974,0,0,0.0751282011327556
"715","Camden-Missouri","2013",0.0161246915348426,1,0,0.0101390492223974
"721","Campbell-Tennessee","2007",0,0,0,0.0302867604750881
"722","Campbell-Tennessee","2008",0,0,0,0
"723","Campbell-Tennessee","2009",0.0154345567183833,0,0,0
"724","Campbell-Tennessee","2010",0.0032949282565297,0,0,0.0154345567183833
"725","Campbell-Tennessee","2011",0.303324617466313,0,0,0.0032949282565297
"726","Campbell-Tennessee","2012",1.99149752914756,1,0,0.303324617466313
"733","Cannon-Tennessee","2007",0,0,0,1.21085381045172
"734","Cannon-Tennessee","2008",0,0,0,0
"735","Cannon-Tennessee","2009",0.0256199458814823,0,0,0
"736","Cannon-Tennessee","2010",0.00185594893039307,0,0,0.0256199458814823
"737","Cannon-Tennessee","2011",0.104168052540315,0,0,0.00185594893039307
"738","Cannon-Tennessee","2012",0.19619599023899,1,0,0.104168052540315
"745","Cape Breton-Nova Scotia","2007",0,0,0,0.290927963740049
